United Arab Emirates;Abu Dhabi;Nigeria;Abuja;5243
United Arab Emirates;Abu Dhabi;Ghana;Accra;6175
United Arab Emirates;Abu Dhabi;Ethiopia;Addis Ababa;2384
United Arab Emirates;Abu Dhabi;Algeria;Algiers;5030
United Arab Emirates;Abu Dhabi;Jordan;Amman;1983
United Arab Emirates;Abu Dhabi;Netherlands;Amsterdam;5159
United Arab Emirates;Abu Dhabi;Andorra;Andorra la Vella;5197
United Arab Emirates;Abu Dhabi;Turkey;Ankara;2640
United Arab Emirates;Abu Dhabi;Madagascar;Antananarivo;4879
United Arab Emirates;Abu Dhabi;Samoa;Apia;15042
United Arab Emirates;Abu Dhabi;Turkmenistan;Ashgabat;1543
United Arab Emirates;Abu Dhabi;Eritrea;Asmara;1904
United Arab Emirates;Abu Dhabi;Paraguay;Asunción;13226
United Arab Emirates;Abu Dhabi;Greece;Athens;3254
United Arab Emirates;Abu Dhabi;Iraq;Baghdad;1381
United Arab Emirates;Abu Dhabi;Azerbaijan;Baku;1818
United Arab Emirates;Abu Dhabi;Mali;Bamako;6648
United Arab Emirates;Abu Dhabi;Brunei;Bandar Seri Begawan;6807
United Arab Emirates;Abu Dhabi;Thailand;Bangkok;4963
United Arab Emirates;Abu Dhabi;Central African Republic;Bangui;4429
United Arab Emirates;Abu Dhabi;Gambia;Banjul;7482
United Arab Emirates;Abu Dhabi;Saint Kitts and Nevis;Basseterre;11759
United Arab Emirates;Abu Dhabi;China;Beijing;5956
United Arab Emirates;Abu Dhabi;Lebanon;Beirut;2102
United Arab Emirates;Abu Dhabi;Serbia;Belgrade;3791
United Arab Emirates;Abu Dhabi;Belize;Belmopan;13882
United Arab Emirates;Abu Dhabi;Germany;Berlin;4632
United Arab Emirates;Abu Dhabi;Switzerland;Bern;4818
United Arab Emirates;Abu Dhabi;Kyrgyzstan;Bishkek;2758
United Arab Emirates;Abu Dhabi;Guinea-Bissau;Bissau;7445
United Arab Emirates;Abu Dhabi;Colombia;Bogotá;13556
United Arab Emirates;Abu Dhabi;Brazil;Brasilia;11931
United Arab Emirates;Abu Dhabi;Slovakia;Bratislava;4182
United Arab Emirates;Abu Dhabi;Congo, Republic of the;Brazzaville;5293
United Arab Emirates;Abu Dhabi;Barbados;Bridgetown;11718
United Arab Emirates;Abu Dhabi;Belgium;Brussels;5148
United Arab Emirates;Abu Dhabi;Romania;Bucharest;3379
United Arab Emirates;Abu Dhabi;Hungary;Budapest;4020
United Arab Emirates;Abu Dhabi;Argentina;Buenos Aires;13519
United Arab Emirates;Abu Dhabi;Egypt;Cairo;2362
United Arab Emirates;Abu Dhabi;Australia;Canberra;11946
United Arab Emirates;Abu Dhabi;Venezuela;Caracas;12546
United Arab Emirates;Abu Dhabi;Saint Lucia;Castries;11792
United Arab Emirates;Abu Dhabi;Moldova;Chisinau;3373
United Arab Emirates;Abu Dhabi;Guinea;Conakry;7356
United Arab Emirates;Abu Dhabi;Denmark;Copenhagen;4840
United Arab Emirates;Abu Dhabi;Senegal;Dakar;7520
United Arab Emirates;Abu Dhabi;Syria;Damascus;2019
United Arab Emirates;Abu Dhabi;Bangladesh;Dhaka;3643
United Arab Emirates;Abu Dhabi;Timor-Leste;Dili;8533
United Arab Emirates;Abu Dhabi;Djibouti;Djibouti (city);1856
United Arab Emirates;Abu Dhabi;Tanzania;Dodoma;3956
United Arab Emirates;Abu Dhabi;Qatar;Doha;299
United Arab Emirates;Abu Dhabi;Tajikistan;Dushanbe;2070
United Arab Emirates;Abu Dhabi;Sierra Leone;Freetown;7351
United Arab Emirates;Abu Dhabi;Tuvalu;Funafuti;13904
United Arab Emirates;Abu Dhabi;Botswana;Gaborone;6258
United Arab Emirates;Abu Dhabi;Burundi;Gitega;4073
United Arab Emirates;Abu Dhabi;Guatemala;Guatemala City;14227
United Arab Emirates;Abu Dhabi;Vietnam;Hanoi;5260
United Arab Emirates;Abu Dhabi;Zimbabwe;Harare;5335
